순번,질문내용,답변내용,질문등록일,파일
211,홈페이지 보안모듈 설치 어떻게 하나요?,"<p style=""border: 0px; box-sizing: border-box; text-size-adjust: none; -webkit-tap-highlight-color: rgba(255, 255, 255, 0); -webkit-font-smoothing: antialiased;",2023-04-03, 교육행정전자서명 인증서 사용자의 자주하는 질문(FAQ).pdf교육행정전자서명 인증서 사용자의 자주하는 질문(FAQ).pdf
210,사학연금 홈페이지 회원 탈퇴 어떻게 하나요?  ,"<p><span style=""font-size: 14pt;""><span style=""font-size: 12pt;"">사학연금 홈페이지 회원 탈퇴 방법은 다음과 같습니다.&nbsp;</span></span></p><p><span style=""font",2023-03-30,
209,공동인증서 등록/변경 시 '본인 인증서가 아닙니다.'라는 메시지가 뜹니다.,"<p><span style=""font-size: 12pt; color: rgb(0, 117, 200);""><b>사학연금에 등록된 성명과 공동인증서에 저장된 성명이 상이하여 뜨는 메시지입니다.</b></span><br></p>",2023-03-29,
208,회원가입 시 '비밀번호에 아이디가 포함되어 있습니다.' 라는 메시지가 뜹니다.,"<p><span style=""font-size: 12pt;"">아이디 조회 시 '아이디 사용'을 클릭을 안 한 경우에 뜨는 메시지입니다.</span></p><p><span style=""font-size: 12pt;"">아래와 같이 ",2023-03-29,
207,공동인증서 로그인 또는 등록/변경 시 인증서 목록에서 이름이 깨져 있으며 '32772: 인증서 DN입력값이 올바르지 않습니다.'라는 메시지가 뜹니다. ,"<p><span style=""font-size: 12pt; color: rgb(0, 117, 200);""><b>Beta: 세계 언어 지원을 위해 Unicode UTF-8 사용에 체크되어 있는 경우 이름이 깨져서 확인이 됩니다.&n",2023-03-29,
205,공동인증서 로그인 또는 등록/변경 시 저장된 공동인증서가 확인되지 않습니다.,"<p><span style=""font-size: 12pt; color: rgb(0, 117, 200);""><b>1. 공동인증서 기간 만료로 뜨지 않거나&nbsp;</b></span></p><p><span style=""font-size: 12pt; color: ",2023-03-29,
204,기관 공동인증서 등록/변경 시 '등록된 회원정보가 확인되지 않습니다. 고객센터 문의해주십시오.' 라는 메시지가 뜹니다.,"<p><span style=""font-size: 12pt; color: rgb(0, 117, 200);""><b>입력하신 기관코드나 사업자 등록번호가 맞지 않아 뜨는 메시지입니다.&nbsp;</b></span></p><p><span st",2023-03-29,
203,기관 공동인증서 등록/변경 시 '확인' 버튼을 클릭해도 반응이 없습니다.,"<p><span style=""font-size: 12pt;"">현재 <b>기관 공동인증서 등록/변경은 Internet explorer 에선 지원이 안 되는 상황입니다.</b></span></p><p><br></p><p><span style=",2023-03-29,
202,홈페이지 접속 시 '보안모듈이 실행 중이 아닙니다.'라는 메시지가 뜨거나 공동인증서 등록/변경 시 '확인'을 클릭해도 반응이 없습니다.,"<p><span style=""font-size: 11pt; color: rgb(0, 117, 200);""><b><span style=""color: rgb(0, 117, 200); font-size: 12pt;"">보안모듈 시행이 안되고 있는 것</span><span",2023-03-29,
201,공동인증서 등록/변경 시 '20481: 입력값이 없거나 올바르지 않습니다.' 라는 메시지가 뜹니다. ,"<p><span style=""font-size: 12pt; "">입력한 <b><span style=""color: rgb(0, 117, 200); font-size: 12pt; "">아이디 또는 기관코드가 맞지 않을 때</span></b> 뜨는 메시지",2023-03-29,
